TP,FP,TN,FN,Precision,Sensitivity,F1 Score,AUC,Accuracy,Specificity
14,1,588,267,0.9333333333332711,0.04982206405693932,0.09459459459459427,0.5250258294110894,0.6919540229885057,0.9983022071307284
243,125,465,38,0.66032608695652,0.8647686832740182,0.7488443759630189,0.8649888413052658,0.8128587830080367,0.7881355932203377
264,26,564,17,0.9103448275862037,0.9395017793594271,0.9246935201401034,0.9743772241992882,0.9506314580941446,0.9559322033898289
24,1,589,257,0.9599999999999617,0.08540925266903883,0.1568627450980387,0.5460220761203933,0.703788748564868,0.998305084745761
34,0,590,247,0.9999999999999706,0.12099644128113834,0.21587301587301516,0.4338229084987032,0.7164179104477612,0.9999999999999982
16,10,580,265,0.6153846153845918,0.056939501779359226,0.10423452768729607,0.47583388624163103,0.6842709529276694,0.9830508474576254
33,1,589,248,0.970588235294089,0.11743772241992839,0.20952380952380883,0.5190240665902647,0.7141216991963261,0.998305084745761
138,8,582,143,0.9452054794520484,0.4911032028469733,0.6463700234192022,0.7604559985523857,0.8266360505166476,0.9864406779661
40,0,590,240,0.9999999999999749,0.14285714285714232,0.2499999999999992,0.5883535108958838,0.7241379310344828,0.9999999999999982
28,2,587,253,0.9333333333333023,0.09964412811387864,0.18006430868167142,0.5389676694318738,0.7068965517241379,0.9966044142614584
41,0,589,240,0.9999999999999756,0.14590747330960802,0.2546583850931669,0.5795273973016574,0.7241379310344828,0.9999999999999982
