TP,FP,TN,FN,Precision,Sensitivity,F1 Score,AUC,Accuracy,Specificity
0,0,590,281,0.0,0.0,0.0,0.5270703902527293,0.677382319173364,0.9999999999999982
15,2,588,266,0.8823529411764188,0.053380782918149274,0.10067114093959698,0.4318505338078293,0.6923076923076923,0.9966101694915237
23,2,588,258,0.9199999999999633,0.08185053380782889,0.1503267973856204,0.6566710899330478,0.7014925373134329,0.9966101694915237
239,187,403,42,0.5610328638497639,0.8505338078291784,0.6760961810466751,0.7886060679172447,0.7370838117106774,0.6830508474576259
25,0,590,256,0.99999999999996,0.08896797153024878,0.16339869281045696,0.5418662162977261,0.7060849598163031,0.9999999999999982
37,0,590,244,0.9999999999999729,0.1316725978647682,0.23270440251572252,0.6374087701308885,0.7198622273249139,0.9999999999999982
181,1,589,100,0.9945054945054891,0.6441281138790013,0.781857451403886,0.8919355811568852,0.8840413318025259,0.998305084745761
38,0,590,242,0.9999999999999737,0.13571428571428523,0.23899371069182312,0.6413771186440678,0.7218390804597701,0.9999999999999982
35,1,588,246,0.9722222222221951,0.1245551601423483,0.22082018927444724,0.6525415536315247,0.7160919540229885,0.9983022071307284
2,0,589,279,0.9999999999995,0.007117437722419903,0.014134275618374508,0.5127727193083156,0.6793103448275862,0.9999999999999982
